date,jdate,high,low,open,close,volume
3/2/2022,1400-12-11,1284660,1280900,1283490,1281153,5504532545
3/5/2022,1400-12-14,1298810,1286890,1286890,1298819,8431989253
3/6/2022,1400-12-15,1322610,1303940,1303940,1322616,7988835321
3/7/2022,1400-12-16,1344950,1328360,1328360,1342924,7952598827
3/8/2022,1400-12-17,1341830,1336640,1341830,1336642,5505115862
3/9/2022,1400-12-18,1348340,1338400,1338400,1348349,6351207917
3/12/2022,1400-12-21,1340770,1332940,1340770,1332949,7539533037
3/13/2022,1400-12-22,1335760,1331760,1332270,1335312,4474518130
3/14/2022,1400-12-23,1336760,1334780,1335620,1334781,3542225724
3/15/2022,1400-12-24,1337910,1334420,1334500,1337269,4977068562
3/16/2022,1400-12-25,1345030,1339240,1339240,1345031,4191591985
3/19/2022,1400-12-28,1367240,1347800,1347800,1367247,5431365028
3/26/2022,1401-01-06,1390770,1374190,1374190,1390778,8730585991
3/27/2022,1401-01-07,1403590,1391710,1391710,1403591,7640979813
3/28/2022,1401-01-08,1418610,1404460,1404460,1418611,9948573423
3/29/2022,1401-01-09,1422940,1414230,1422940,1414232,12356809626
3/30/2022,1401-01-10,1432170,1411940,1413500,1432138,7400595096
4/3/2022,1401-01-14,1461960,1434650,1434650,1461963,9496208580
4/4/2022,1401-01-15,1476900,1468870,1468890,1468872,13936566360
4/5/2022,1401-01-16,1471450,1465200,1467850,1471457,9625565759
4/6/2022,1401-01-17,1473520,1463740,1472840,1463743,11165395785
4/9/2022,1401-01-20,1460550,1451760,1460550,1458684,8423628503
4/10/2022,1401-01-21,1474240,1461710,1461710,1474100,11270947735
4/11/2022,1401-01-22,1479890,1475300,1475490,1479591,10070884564
